dummy,first,second,Grid,Lat,Long
,291000,378500,SH9100078500,53.292214,-3.6367276
,349000,402000,SD4900002000,53.512194,-2.7705279
,389900,290900,SO8990090900,52.515889,-2.1502646
,398000,248300,SO9800048300,52.132999,-2.0306343
,396000,288000,SO9600088000,52.489899,-2.0603386
,366300,307700,SJ6630007700,52.665959,-2.4997432
,421100,285800,SP2110085800,52.469733,-1.6908217
,395200,276200,SO9520076200,52.38381,-2.0719469
,385400,333900,SJ8540033900,52.902337,-2.2185013
,372500,312000,SJ7250012000,52.704964,-2.40843
,432800,536700,NZ3280036700,54.724229,-1.4922684
,419100,523100,NZ1910023100,54.602716,-1.7058537
,425500,556500,NZ2550056500,54.902577,-1.6038688
,426600,555200,NZ2660055200,54.890838,-1.5868349
,429800,574300,NZ2980074300,55.062289,-1.5349707
,302500,524300,NY0250024300,54.604425,-3.5109021
,302700,524900,NY0270024900,54.609854,-3.5080064
,390400,371500,SJ9040071500,53.240438,-2.1453026
,383000,409700,SD8300009700,53.583609,-2.2582551
,366500,393500,SJ6650093500,53.437205,-2.5057399
,352500,401300,SD5250001300,53.506231,-2.7176478
,376000,430500,SD7600030500,53.770284,-2.3656035
,385600,428300,SD8560028300,53.750866,-2.2198523
,367900,389100,SJ6790089100,53.397744,-2.484217
,616200,160000,TR1620060000,51.298056,1.0998696
,544500,107500,TQ4450007500,50.848979,0.051299631
,560300,156300,TQ6030056300,51.283287,0.29717165
,564600,157400,TQ6460057400,51.291945,0.35928094
,616195,160155,TR1619560155,51.299449,1.0998918
,517300,135000,TQ1730035000,51.102312,-0.32602544
,520500,112400,TQ2050012400,50.898515,-0.28783632
,403000,96500,SZ0300096500,50.768079,-1.9588255
,454500,227500,SP5450027500,51.943339,-1.2085506
,402000,171000,SU0200071000,51.437993,-1.9726165
,450800,192800,SU5080092800,51.631726,-1.2674419
,413300,190800,SU1330090800,51.615872,-1.8093068
,361300,130900,ST6130030900,51.076111,-2.5537877
,361300,130800,ST6130030800,51.075212,-2.553777
,482000,144700,SU8200044700,51.195645,-0.82785856
,451700,193000,SU5170093000,51.633442,-1.2544105
